id,date,duration,tour_id,likes_count,venue_name,location,ratings,name,tour
1905,2017-01-15T00:00:00Z,10690062,100,2,Barcelo Maya Beach,"Riviera Maya, Quintana Roo Mexico",4.5703,2017 Riviera Maya Run,2017-riviera-maya-run
1904,2017-01-14T00:00:00Z,10835436,100,0,Barcelo Maya Beach,"Riviera Maya, Quintana Roo Mexico",3.7176,2017 Riviera Maya Run,2017-riviera-maya-run
1903,2017-01-13T00:00:00Z,10340152,100,0,Barcelo Maya Beach,"Riviera Maya, Quintana Roo Mexico",3.8495,2017 Riviera Maya Run,2017-riviera-maya-run
1902,2016-12-31T00:00:00Z,13435559,99,8,Madison Square Garden,"New York, NY",4.1387,2016-2017 New Years Run,2016-2017-new-years-run
1900,2016-12-30T00:00:00Z,10395977,99,13,Madison Square Garden,"New York, NY",4.6719,2016-2017 New Years Run,2016-2017-new-years-run
1899,2016-12-29T00:00:00Z,9687874,99,6,Madison Square Garden,"New York, NY",4.1985,2016-2017 New Years Run,2016-2017-new-years-run
1897,2016-12-28T00:00:00Z,9975624,99,11,Madison Square Garden,"New York, NY",4.2702,2016-2017 New Years Run,2016-2017-new-years-run
1895,2016-10-31T00:00:00Z,12595201,98,18,MGM Grand Garden Arena,"Las Vegas, NV",4.5728,2016 Fall Tour,2016-fall-tour
1894,2016-10-30T00:00:00Z,9616300,98,8,MGM Grand Garden Arena,"Las Vegas, NV",4.5933,2016 Fall Tour,2016-fall-tour
1893,2016-10-29T00:00:00Z,9486342,98,11,MGM Grand Garden Arena,"Las Vegas, NV",4.6049,2016 Fall Tour,2016-fall-tour
1892,2016-10-28T00:00:00Z,10521574,98,9,MGM Grand Garden Arena,"Las Vegas, NV",4.622,2016 Fall Tour,2016-fall-tour
1890,2016-10-25T00:00:00Z,9576278,98,2,Verizon Theatre at Grand Prairie,"Grand Prairie, TX",2.3653,2016 Fall Tour,2016-fall-tour
1889,2016-10-24T00:00:00Z,10278374,98,2,Verizon Theatre at Grand Prairie,"Grand Prairie, TX",3.7218,2016 Fall Tour,2016-fall-tour
1891,2016-10-22T00:00:00Z,9597336,98,7,Verizon Wireless Amphitheatre at Encore Park,"Alpharetta, GA",4.5994,2016 Fall Tour,2016-fall-tour
1888,2016-10-21T00:00:00Z,9481979,98,7,Verizon Wireless Amphitheatre at Encore Park,"Alpharetta, GA",4.3195,2016 Fall Tour,2016-fall-tour
1887,2016-10-19T00:00:00Z,9458756,98,6,Ascend Amphitheater,"Nashville, TN",4.3673,2016 Fall Tour,2016-fall-tour
1886,2016-10-18T00:00:00Z,9332401,98,11,Ascend Amphitheater,"Nashville, TN",4.4125,2016 Fall Tour,2016-fall-tour
1885,2016-10-16T00:00:00Z,10110304,98,5,Jacksonville Veterans Memorial Arena,"Jacksonville, FL",3.768,2016 Fall Tour,2016-fall-tour
1884,2016-10-15T00:00:00Z,9598745,98,4,North Charleston Coliseum,"North Charleston, SC",3.3478,2016 Fall Tour,2016-fall-tour
1883,2016-10-14T00:00:00Z,10647329,98,9,North Charleston Coliseum,"North Charleston, SC",3.8341,2016 Fall Tour,2016-fall-tour
1877,2016-09-04T00:00:00Z,10505692,97,20,Dick's Sporting Goods Park,"Commerce City, CO",4.6861,2016 Summer Tour,2016-summer-tour
1876,2016-09-03T00:00:00Z,10925637,97,14,Dick's Sporting Goods Park,"Commerce City, CO",4.491,2016 Summer Tour,2016-summer-tour
1875,2016-09-02T00:00:00Z,10567915,97,14,Dick's Sporting Goods Park,"Commerce City, CO",4.4056,2016 Summer Tour,2016-summer-tour
1874,2016-08-28T00:00:00Z,9314509,97,10,Oak Ridge Farm,"Arrington, VA",3.7193,2016 Summer Tour,2016-summer-tour
1873,2016-08-26T00:00:00Z,10065864,97,9,Oak Ridge Farm,"Arrington, VA",4.1187,2016 Summer Tour,2016-summer-tour
1872,2016-07-23T00:00:00Z,9593052,97,4,Sleep Train Amphitheatre,"Chula Vista, CA",4.3323,2016 Summer Tour,2016-summer-tour
1871,2016-07-22T00:00:00Z,11240465,97,2,The Forum,"Inglewood, CA",2.6358,2016 Summer Tour,2016-summer-tour
1870,2016-07-20T00:00:00Z,9660891,97,9,Bill Graham Civic Auditorium,"San Francisco, CA",3.9821,2016 Summer Tour,2016-summer-tour
1869,2016-07-19T00:00:00Z,10099750,97,10,Bill Graham Civic Auditorium,"San Francisco, CA",4.561,2016 Summer Tour,2016-summer-tour
1868,2016-07-18T00:00:00Z,10214165,97,6,Bill Graham Civic Auditorium,"San Francisco, CA",4.1886,2016 Summer Tour,2016-summer-tour
1867,2016-07-16T00:00:00Z,11346051,97,10,Gorge Amphitheatre,"George, WA",3.5306,2016 Summer Tour,2016-summer-tour
1866,2016-07-15T00:00:00Z,11062725,97,18,Gorge Amphitheatre,"George, WA",4.4473,2016 Summer Tour,2016-summer-tour
1865,2016-07-10T00:00:00Z,9896566,97,9,Lakeview Amphitheater,"Syracuse, NY",3.6688,2016 Summer Tour,2016-summer-tour
1863,2016-07-09T00:00:00Z,9856053,97,17,XFINITY Theatre,"Hartford, CT",4.4328,2016 Summer Tour,2016-summer-tour
