location,average_rating,latitude,longitude
"Albany, NY",4.060790740740741,42.6525793,-73.7562317
"Alpharetta, GA",4.0239170854271356,34.0753762,-84.2940899
"Ames, IA",3.401863157894737,42.0307812,-93.63191309999999
"Amherst, MA",3.7973213178294576,42.3732216,-72.5198537
"Amsterdam, Netherlands",4.008062162162163,52.3702157,4.895167900000001
"Ann Arbor, MI",4.005621238938053,42.2808256,-83.7430378
"Antioch, TN",4.108842666666667,36.0597177,-86.6715948
"Arcata, CA",3.6244799999999997,40.8665166,-124.0828396
"Ardmore, PA",2.8808157894736843,40.0067785,-75.2854622
"Arles, France",2.4,43.676647,4.6277769
"Arrington, VA",3.89951,37.6840306,-78.9011326
"Asheville, NC",3.3457,35.5950581,-82.5514869
"Ashland, OR",3.4545,42.1945758,-122.7094767
"Aspen, CO",3.8421,39.1910983,-106.8175387
"Athens, GA",3.452449438202247,33.9519347,-83.357567
"Athens, OH",3.4,39.3292396,-82.1012554
"Atlanta, GA",4.134200793650794,33.7489954,-84.3879824
"Atlantic City, NJ",4.220525541125541,39.3642834,-74.4229266
"Auburn Hills, MI",4.206956716417911,42.6875323,-83.2341028
"Auburn, ME",4.3488,44.0978509,-70.2311655
"Augusta, ME",4.1364,44.3106241,-69.7794897
"Austin, TX",3.520540606060606,30.267153,-97.7430608
"Avon, CO",3.7692,39.6330673,-106.5222196
"Baltimore, MD",3.5476190476190474,39.2903848,-76.6121893
"Bangor, ME",3.837339344262295,44.80118210000001,-68.77781379999999
"Barcelona, Spain",3.5212541666666666,41.3850639,2.1734035
"Barre, VT",3.7273,44.1970055,-72.50204939999999
"Bee Cave, TX",3.5667,30.306098,-97.9523768
"Bellingham, WA",3.5455,48.7519112,-122.4786854
"Bend, OR",3.5428027027027027,44.0581728,-121.3153096
"Bennington, VT",3.2857,42.8781345,-73.1967741
"Berkeley, CA",3.96276875,37.8715926,-122.272747
"Berlin, Germany",2.8571,52.52000659999999,13.404954
"Bethel, NY",3.9646555555555554,41.6837659,-74.8719284
"Bethlehem, PA",3.6765,40.6259316,-75.37045789999999
"Big Cypress, FL",4.668355913978495,26.0485819,-81.0754657
"Binghamton, NY",4.381705263157895,42.09868669999999,-75.91797380000001
"Birmingham, AL",4.1071,33.5206608,-86.80248999999999
"Bloomington, IN",4.2333,39.165325,-86.52638569999999
"Bloomsburg, PA",3.4211,41.003698,-76.4549457
"Boise, ID",4.064152631578947,43.6187102,-116.2146068
"Bonner Springs, KS",3.6408473684210527,39.059726,-94.8835754
"Boone, NC",4,36.216795,-81.6745517
"Boston, MA",3.4663440443213296,42.3600825,-71.0588801
"Boulder, CO",3.7791045918367345,40.0149856,-105.2705456
"Bozeman, MT",4.3387,45.6769979,-111.0429339
"Breckenridge, CO",3.9545,39.4816537,-106.0383518
"Bridgeview, IL",3.38765,41.7500323,-87.80422159999999
"Bristow, VA",4.1698,38.723303,-77.5367043
"Brooklyn, NY",3.5999439024390245,40.6781784,-73.9441579
"Broomfield, CO",3.1095140625,39.9205411,-105.0866504
"Brussels, Belgium",3.1765,50.8503463,4.3517211
"Buffalo, NY",3.5455033707865167,42.88644679999999,-78.8783689
"Burbank, CA",2.7778,34.1808392,-118.3089661
"Burgettstown, PA",4.138356115107914,40.3820132,-80.3928423
"Burlington, VT",3.279876200564972,44.4758825,-73.21207199999999
"Cambridge, MA",3.3333,42.3736158,-71.10973349999999
"Camden, NJ",4.068872282608695,39.9259463,-75.1196199
"Canandaigua, NY",3.875798734177215,42.887535,-77.2816984
"Canton, NY",3.3386682926829265,44.5956163,-75.1690942
"Castleton, VT",2.8889,43.6106223,-73.17983199999999
"Catalonia, Spain",3.2632,41.5911589,1.5208624
"Cedar Rapids, IA",3.1714,41.9778795,-91.6656232
"Champaign, IL",3.8049,40.1164204,-88.2433829
"Chandler, AZ",4.3043,33.3061605,-111.8412502
"Chapel Hill, NC",3.4789195488721805,35.9131996,-79.0558445
"Charleston, SC",3.6045823529411765,32.7764749,-79.93105120000001
"Charleston, WV",4.425468421052631,38.3498195,-81.6326234
"Charlotte, NC",3.8941112068965515,35.2270869,-80.8431267
"Charlotte, VT",3.625,44.3098476,-73.2609928
"Charlottesville, VA",3.8681801204819277,38.0293059,-78.47667810000002
"Chattanooga, TN",3.6765,35.0456297,-85.3096801
"Chicago, IL",3.9515568927789935,41.8781136,-87.6297982
"Chico, CA",3.8889,39.7284944,-121.8374777
"Chiyoda-ku, Tokyo, Japan",3.0417,35.6940027,139.7535951
"Chula Vista, CA",3.6902913043478263,32.6400541,-117.0841955
"Chuo-ku, Fukuoka, Japan",4.7044,33.5892157,130.3928134
"Chuo-ku, Osaka, Japan",4.1373,34.6812614,135.5098009
"Cincinnati, OH",3.899256296296296,39.1031182,-84.5120196
"Clarkston, MI",3.7214261904761905,42.7351196,-83.4192941
"Clearwater, FL",4.1786,27.9658533,-82.8001026
"Cleveland, OH",3.732412426035503,41.49932,-81.6943605
"Clinton, NY",3.0832352941176473,43.0484029,-75.3785034
"Colchester, VT",4.4789,44.5439375,-73.1479068
"Cologne, Germany",3.32708,50.937531,6.9602786
"Colorado Springs, CO",4.10176170212766,38.8338816,-104.8213634
"Columbia, MD",3.98965652173913,39.2037144,-76.86104619999999
"Columbia, MO",4.10476170212766,38.9517053,-92.3340724
"Columbia, SC",3.5417,34.0007104,-81.0348144
"Columbus, OH",4.0634093023255815,39.9611755,-82.99879419999999
"Commerce City, CO",4.277721393034826,39.8083196,-104.9338675
"Como, Italy",3.6522,45.8080597,9.0851765
"Concord, CA",3.3333,37.9779776,-122.0310733
"Concord, NH",2.75,43.2081366,-71.5375718
"Copenhagen, Denmark",3.2857,55.6760968,12.5683371
"Cortemaggiore, Italy",3.8056,44.99371410000001,9.9302466
"Coventry, VT",2.473764705882353,44.867617,-72.2616067
"Crested Butte, CO",3.1272115384615384,38.8697146,-106.9878231
"Cuyahoga Falls, OH",4.109950406504065,41.1339449,-81.48455849999999
"DÃ¼sseldorf, Germany",2.8333,51.2277411,6.7734556
"Dallas, TX",4.173642666666667,32.7766642,-96.79698789999999
"Daly City, CA",3.5263,37.6879241,-122.4702079
"Darien Center, NY",3.9902383177570093,42.9011708,-78.38863119999999
"Davidson, NC",4,35.4993031,-80.8486846
"Davis, CA",4.069,38.5449065,-121.7405167
"Dayton, OH",4.4065377049180325,39.7589478,-84.1916069
"Deauville, France",2.2,49.353976,0.075122
"Denver, CO",3.68134578313253,39.7392358,-104.990251
"Des Moines, IA",4.2778,41.6005448,-93.6091064
"Desenzano, Italy",3.375,45.4714531,10.5333351
"Detroit, MI",3.8177775510204084,42.331427,-83.0457538
"Dorchester, MA",3.2,42.30163049999999,-71.067605
"Dour, Belgium",2.0769,50.4000126,3.7827918
"Dublin, Ireland",3.6657897435897437,53.3498053,-6.2603097
"Durango, CO",3.7333,37.27528,-107.8800667
"Durham, NH",3.651295652173913,43.1339545,-70.9264393
"East Lansing, MI",3.7008666666666663,42.7369792,-84.48386540000001
"East Rutherford, NJ",3.1122,40.833989,-74.0970865
"East Troy, WI",4.039317630057804,42.7852922,-88.40509600000001
"Englewood, CO",3.6175608695652173,39.6477653,-104.9877597
"Erie, PA",3.625,42.12922409999999,-80.085059
