id,title,position,duration,set,set_name,likes_count,slug,date
26152,Scarlet Begonias,1,558420,2,Set 2,3,scarlet-begonias,1983-12-02T00:00:00Z
26153,Fire on the Mountain,2,473104,2,Set 2,3,fire-on-the-mountain,1983-12-02T00:00:00Z
26837,In the Midnight Hour,1,383033,1,Set 1,0,in-the-midnight-hour,1984-11-03T00:00:00Z
26838,Wild Child > Jam,2,320444,1,Set 1,4,wild-child-jam,1984-11-03T00:00:00Z
26839,Bertha > St. Stephen,3,819853,1,Set 1,1,bertha-st-stephen,1984-11-03T00:00:00Z
26840,Can't You Hear Me Knocking,4,579840,1,Set 1,0,cant-you-hear-me-knocking,1984-11-03T00:00:00Z
26841,Camel Walk,5,77923,1,Set 1,0,camel-walk,1984-11-03T00:00:00Z
26842,Eyes of the World,6,1072013,1,Set 1,3,eyes-of-the-world,1984-11-03T00:00:00Z
26843,Whipping Post > Drums,7,961463,1,Set 1,2,whipping-post-drums,1984-11-03T00:00:00Z
3,Scarlet Begonias,1,374413,1,Set 1,1,scarlet-begonias,1984-12-01T00:00:00Z
4,Fire,2,260049,1,Set 1,0,fire,1984-12-01T00:00:00Z
5,Fire on the Mountain,3,544209,1,Set 1,2,fire-on-the-mountain,1984-12-01T00:00:00Z
6,Makisupa Policeman,4,563043,1,Set 1,1,makisupa-policeman,1984-12-01T00:00:00Z
7,Slave to the Traffic Light,5,426371,1,Set 1,5,slave-to-the-traffic-light,1984-12-01T00:00:00Z
8,Spanish Flea,6,364539,1,Set 1,0,spanish-flea,1984-12-01T00:00:00Z
9,Don't Want You No More,7,439615,1,Set 1,0,dont-want-you-no-more,1984-12-01T00:00:00Z
10,Cities,8,374909,1,Set 1,1,cities,1984-12-01T00:00:00Z
11,Drums,9,597316,1,Set 1,0,drums,1984-12-01T00:00:00Z
12,Skippy the Wondermouse,10,588434,1,Set 1,0,skippy-the-wondermouse,1984-12-01T00:00:00Z
13,Fluffhead,11,384888,1,Set 1,0,fluffhead,1984-12-01T00:00:00Z
14,Eyes of the World,12,809064,E,Encore,2,eyes-of-the-world,1984-12-01T00:00:00Z
15,Anarchy,1,31817,1,Set 1,0,anarchy,1985-03-04T00:00:00Z
16,Camel Walk,2,408346,1,Set 1,3,camel-walk,1985-03-04T00:00:00Z
